restaurant_name,name,rating,review,items_ordered,purchase_date,user_since
"Kober Mie, Kaca Piring",N*******,3.0,"kematengan, jadi lembek banget mie nya . overalll enak",Kober Mie Manis - Kober Mie Manis - Udang Rambutan - Udang Keju - Ice Green Tea Frappe,5 October 2023,Gojek user since 17 April 2019
"Kober Mie, Kaca Piring",Erni,1.0,kembalian nya ga dikasih😟,Mie Setan - Udang Keju - Udang Rambutan - Mie Iblis - Ceker - Baby Shake Milo,5 March 2022,Gojek user since 19 August 2017
"Kober Mie, Kaca Piring",yunita,1.0,kenapa gak pake pedes saya minta lev 3,Mie Iblis - Udang Keju,16 October 2022,Gojek user since 19 June 2020
"Kober Mie, Kaca Piring",Y*** A*******,2.0,"keterangan nya level S,tp rasa nya kyk level cabe 50 an sampai gk bisa di makan saking pedes nya",PPKM 2,23 July 2021,Gojek user since 1 March 2021
"Kober Mie, Kaca Piring",Samsul,3.0,keterlambatan penyajiannya,Mie Angel,6 August 2022,Gojek user since 28 May 2016
"Kober Mie, Kaca Piring",A*** N****** S*******,3.0,ketuker lavel nyaa🙄,Kober Mie Manis - Kober Mie Manis - Kober Mie Original - Lumpia Ayam - Udang Rambutan,31 July 2023,Gojek user since 21 August 2019
"Kober Mie, Kaca Piring",D** R*********,3.0,keycha nya mentah ini gimana sih kober,Mie Iblis - Mie Setan - Keyca - Siomay - Sushi - Udang Keju - Es Genderuwo,21 June 2022,Gojek user since 30 April 2022
"Kober Mie, Kaca Piring",Rafi,5.0,kober the besttttt,Kober Mie Manis - Udang Keju,22 December 2024,Gojek user since 8 October 2022
"Kober Mie, Kaca Piring",AHMAD FERDIAN,3.0,kok beef nya gaada tapi ga konfirmasi ya kak padahal beli pengen beef nya,Kober Mie Gurih - Udang Keju,24 September 2025,Gojek user since 13 November 2020
"Kober Mie, Kaca Piring",I****,1.0,"kok gak ada cabenya, malah asin",Mie Iblis,12 May 2021,Gojek user since 1 January 2021
"Kober Mie, Kaca Piring",M*** T****,3.0,kok nggak seenak dulu ya,Siomay - Hakau - Udang Rambutan,15 July 2021,Gojek user since 9 October 2017
"Kober Mie, Kaca Piring",A*****,4.0,kok rasanya menurun ya,Kober Pamer 3,7 September 2021,Gojek user since 11 October 2016
"Kober Mie, Kaca Piring",H******* E***,1.0,"kok tambah kecil,sprti mkanan yg kmrin trus dipanasin lagi tolong dong dijaga kualitas nya.",Udang Rambutan,17 April 2022,Gojek user since 10 May 2017
"Kober Mie, Kaca Piring",D***,1.0,"kok tumben kali ini aku beli mie kober gak ada rasanya (mie maupun dimsumnya). ini aku beli di kober di jln kaca piring. apa di mie kober lainnya sama? padahal kalau go food dengan harga mahal, harusnya rasanya enak.",Kober Mie Manis - Udang Keju - Ice Tea Shaker,13 March 2023,Gojek user since 8 March 2023
"Kober Mie, Kaca Piring",L****,1.0,kok tumben warnanya putih g ada kecapnya,Mie Setan,24 October 2021,Gojek user since 3 June 2021
"Kober Mie, Kaca Piring",mutmainnah,3.0,krg enak gg pedes yg ori rsax krg sedep,Udang Rambutan - Kober Mie Manis - Kober Mie Original,21 December 2024,Gojek user since 1 January 2023
"Kober Mie, Kaca Piring",Ratih Dewi Mayasari,1.0,krn aku pesan mie rasa pedasnya 2 dan yg ori 4 tp ni lihat kmr mienya rasa ori semua maaf ya jika kritik mintol dong klau org pesan dilihat lagi😞😞,Mie Setan - Mie Angel - Nasi Hitler,12 June 2022,Gojek user since 12 August 2021
"Kober Mie, Kaca Piring",hardian,2.0,kualitasnya jauh menurun,Mie Iblis - Mie Angel - Pao Pandan - Es Sundel Bolong,17 January 2022,Gojek user since 22 May 2021
